205,Mathew,1750,1,1750
206,Nathaniel,1800,2,3600
207,Scott,1850,3,5550
208,Hubert,1900,1,1900
209,Lemuel,1950,2,3900
210,Andy,2000,3,6000
211,Ellis,1000,1,1000
212,Emanuel,1500,2,3000
213,Joshua,2000,3,6000
214,Millard,1750,1,1750
215,Vernon,1800,2,3600
216,Wade,1850,3,5550
217,Cyrus,1900,1,1900
218,Miles,1950,2,3900
219,Rudolph,2000,3,6000
220,Sherman,1000,1,1000
221,Austin,1500,2,3000
222,Bill,2000,3,6000
223,Chas,1750,1,1750
224,Lonnie,1800,2,3600
225,Monroe,1850,3,5550
226,Byron,1900,1,1900
227,Edd,1950,2,3900
228,Emery,2000,3,6000
229,Grant,1000,1,1000
230,Jerome,1500,2,3000
231,Max,2000,3,6000
232,Mose,1000,1,1000
233,Steve,1500,2,3000
234,Gordon,2000,3,6000
235,Abe,1750,1,1750
236,Pete,1800,2,3600
237,Chris,1850,3,5550
238,Clark,1900,1,1900
239,Gustave,1950,2,3900
240,Orville,2000,3,6000
241,Lorenzo,1000,1,1000
242,Bruce,1500,2,3000
243,Marcus,2000,3,6000
244,Preston,1750,1,1750
245,Bob,1800,2,3600
246,Dock,1850,3,5550
247,Donald,1900,1,1900
248,Jackson,1950,2,3900
249,Cecil,2000,3,6000
250,Barney,1000,1,1000
251,Delbert,1500,2,3000
252,Edmond,2000,3,6000
253,Anderson,1750,1,1750
254,Christian,1800,2,3600
255,Glenn,1850,3,5550
256,Jefferson,1900,1,1900
257,Luke,1950,2,3900
258,Neal,2000,3,6000
259,Burt,1000,1,1000
260,Ike,1500,2,3000
261,Myron,2000,3,6000
262,Tony,1750,1,1750
263,Conrad,1800,2,3600
264,Joel,1850,3,5550
265,Matt,1900,1,1900
266,Riley,1950,2,3900
267,Vincent,2000,3,6000
268,Emory,1000,1,1000
269,Isaiah,1500,2,3000
270,Nick,2000,3,6000
271,Ezra,1750,1,1750
272,Green,1800,2,3600
273,Juan,1850,3,5550
274,Clifton,1900,1,1900
275,Lucius,1950,2,3900
276,Porter,2000,3,6000
277,Arnold,1000,1,1000
278,Bud,1500,2,3000
279,Jeremiah,2000,3,6000
280,Taylor,1750,1,1750
281,Forrest,1800,2,3600
282,Roland,1850,3,5550
283,Spencer,1900,1,1900
284,Burton,1950,2,3900
285,Don,2000,3,6000
286,Emmet,1000,1,1000
287,Gustav,1500,2,3000
288,Louie,2000,3,6000
289,Morgan,1000,1,1000
290,Ned,1500,2,3000
291,Van,2000,3,6000
292,Ambrose,1750,1,1750
293,Chauncey,1800,2,3600
294,Elisha,1850,3,5550
295,Ferdinand,1900,1,1900
296,General,1950,2,3900
297,Julian,2000,3,6000
298,Kenneth,1000,1,1000
299,Mitchell,1500,2,3000
300,Allie,2000,3,6000
301,Josh,1750,1,1750
302,Judson,1800,2,3600
303,Lyman,1850,3,5550
304,Napoleon,1900,1,1900
305,Pedro,1950,2,3900
306,Berry,2000,3,6000
307,Dewitt,1000,1,1000
308,Ervin,1500,2,3000
309,Forest,2000,3,6000
310,Lynn,1750,1,1750
311,Pink,1800,2,3600
312,Ruben,1850,3,5550
313,Sanford,1900,1,1900
314,Ward,1950,2,3900
315,Douglas,2000,3,6000
316,Ole,1000,1,1000
317,Omer,1500,2,3000
318,Ulysses,2000,3,6000
319,Walker,1750,1,1750
320,Wilbert,1800,2,3600
321,Adelbert,1850,3,5550
322,Benjiman,1900,1,1900
323,Ivan,1950,2,3900
324,Jonas,2000,3,6000
325,Major,1000,1,1000
326,Abner,1500,2,3000
327,Archibald,2000,3,6000
328,Caleb,1750,1,1750
329,Clint,1800,2,3600
330,Dudley,1850,3,5550
331,Granville,1900,1,1900
332,King,1950,2,3900
333,Mary,2000,3,6000
334,Merton,1000,1,1000
335,Antonio,1500,2,3000
336,Bennie,2000,3,6000
337,Carroll,1750,1,1750
338,Freeman,1800,2,3600
339,Josiah,1850,3,5550
340,Milo,1900,1,1900
341,Royal,1950,2,3900
342,Dick,2000,3,6000
343,Earle,1000,1,1000
344,Elza,1500,2,3000
345,Emerson,2000,3,6000
346,Fletcher,1000,1,1000
347,Judge,1500,2,3000
348,Laurence,2000,3,6000
349,Neil,1750,1,1750
350,Roger,1800,2,3600
351,Seth,1850,3,5550
352,Glen,1900,1,1900
353,Hugo,1950,2,3900
354,Jimmie,2000,3,6000
355,Johnnie,1000,1,1000
356,Washington,1500,2,3000
357,Elwood,2000,3,6000
358,Gust,1750,1,1750
359,Harmon,1800,2,3600
360,Jordan,1850,3,5550
361,Simeon,1900,1,1900
362,Wayne,1950,2,3900
363,Wilber,2000,3,6000
364,Clem,1000,1,1000
365,Evan,1500,2,3000
366,Frederic,2000,3,6000
367,Irwin,1750,1,1750
368,Junius,1800,2,3600
369,Lafayette,1850,3,5550
370,Loren,1900,1,1900
371,Madison,1950,2,3900
372,Mason,2000,3,6000
373,Orval,1000,1,1000
374,Abram,1500,2,3000
375,Aubrey,2000,3,6000
376,Elliott,1750,1,1750
377,Hans,1800,2,3600
378,Karl,1850,3,5550
379,Minor,1900,1,1900
380,Wash,1950,2,3900
381,Wilfred,2000,3,6000
382,Allan,1000,1,1000
383,Alphonse,1500,2,3000
384,Dallas,2000,3,6000
385,Dee,1750,1,1750
386,Isiah,1800,2,3600
387,Jason,1850,3,5550
388,Johnny,1900,1,1900
389,Lawson,1950,2,3900
390,Lew,2000,3,6000
391,Micheal,1000,1,1000
392,Orin,1500,2,3000
393,Addison,2000,3,6000
394,Cal,1750,1,1750
395,Erastus,1800,2,3600
396,Francisco,1850,3,5550
397,Hardy,1900,1,1900
398,Lucien,1950,2,3900
399,Randolph,1000,3,3000
400,Stewart,1500,1,1500
401,Vern,2000,2,4000
402,Wilmer,1000,3,3000
403,Zack,1500,1,1500
404,Adrian,2000,2,4000
405,Alvah,1750,3,5250
406,Bertram,1800,1,1800
407,Clay,1850,2,3700
408,Ephraim,1900,3,5700
409,Fritz,1950,1,1950
410,Giles,2000,2,4000
411,Grover,1000,3,3000
412,Harris,1500,1,1500
413,Isom,2000,2,4000
414,Jesus,1750,3,5250
415,Johnie,1800,1,1800
416,Jonathan,1850,2,3700
417,Lucian,1900,3,5700
418,Malcolm,1950,1,1950
419,Merritt,2000,2,4000
420,Otho,1000,3,3000
421,Perley,1500,1,1500
422,Rolla,2000,2,4000
423,Sandy,1750,3,5250
424,Tomas,1800,1,1800
425,Wilford,1850,2,3700
426,Adolphus,1900,3,5700
427,Angus,1950,1,1950
428,Arther,2000,2,4000
429,Carlos,1000,3,3000
430,Cary,1500,1,1500
431,Cassius,2000,2,4000
432,Davis,1750,3,5250
433,Hamilton,1800,1,1800
434,Harve,1850,2,3700
435,Israel,1900,3,5700
436,Leander,1950,1,1950
437,Melville,2000,2,4000
438,Merle,1000,3,3000
439,Murray,1500,1,1500
440,Pleasant,2000,2,4000
441,Sterling,1750,3,5250
442,Steven,1800,1,1800
443,Axel,1850,2,3700
444,Boyd,1900,3,5700
445,Bryant,1950,1,1950
446,Clement,2000,2,4000
447,Erwin,1000,3,3000
448,Ezekiel,1500,1,1500
449,Foster,2000,2,4000
450,Frances,1750,3,5250
451,Geo,1800,1,1800
452,Houston,1850,2,3700
453,Issac,1900,3,5700
454,Jules,1950,1,1950
455,Larkin,1000,2,2000
456,Mat,1500,3,4500
457,Morton,2000,1,2000
458,Orlando,1000,2,2000
459,Pierce,1500,3,4500
460,Prince,2000,1,2000
461,Rollie,1750,2,3500
462,Rollin,1800,3,5400
463,Sim,1850,1,1850
464,Stuart,1900,2,3800
465,Wilburn,1950,3,5850
466,Bennett,2000,1,2000
467,Casper,1000,2,2000
468,Christ,1500,3,4500
469,Dell,2000,1,2000
470,Egbert,1750,2,3500
471,Elmo,1800,3,5400
472,Fay,1850,1,1850
473,Gabriel,1900,2,3800
474,Hector,1950,3,5850
475,Horatio,2000,1,2000
476,Lige,1000,2,2000
477,Saul,1500,3,4500
478,Smith,2000,1,2000
479,Squire,1750,2,3500
480,Tobe,1800,3,5400
481,Tommie,1850,1,1850
482,Wyatt,1900,2,3800
483,Alford,1950,3,5850
484,Alma,2000,1,2000
485,Alton,1000,2,2000
486,Andres,1500,3,4500
487,Burl,2000,1,2000
488,Cicero,1750,2,3500
489,Dean,1800,3,5400
490,Dorsey,1850,1,1850
491,Enos,1900,2,3800
492,Howell,1950,3,5850
493,Lou,2000,1,2000
494,Loyd,1000,2,2000
495,Mahlon,1500,3,4500
496,Nat,2000,1,2000
497,Omar,1750,2,3500
498,Oran,1800,3,5400
499,Parker,1850,1,1850
500,Raleigh,1900,2,3800
